Date Time,Humidity,Rain,Photo Resistor Value,Photo Resistor LED,Revolution,RPM,Wind Speed KPH,Wind Degree,Wind Direction,CO2 Level,Temperature,Air Pressure
2022-01-10 11:18:00,90.5,567.0,860.0, LED OFF ,2.0,40.0,2.3,180.0,S,736.0,6.8,101431.14
2022-01-10 11:18:06,90.3,565.0,859.0, LED OFF ,2.0,39.0,2.24,180.0,S,741.0,6.8,101431.97
2022-01-10 11:18:12,90.2,561.0,853.0, LED OFF ,1.0,19.0,1.09,180.0,S,741.0,6.9,101431.87
2022-01-10 11:18:18,90.2,555.0,858.0, LED OFF ,1.0,20.0,1.15,180.0,S,745.0,6.8,101431.97
2022-01-10 11:18:24,90.2,558.0,859.0, LED OFF ,0.0,0.0,0.0,180.0,S,745.0,6.8,101430.92
2022-01-10 11:18:30,90.2,553.0,853.0, LED OFF ,1.0,20.0,1.15,315.0,NW,745.0,6.8,101431.03
2022-01-10 11:18:36,90.3,559.0,859.0, LED OFF ,0.0,0.0,0.0,315.0,NW,745.0,6.8,101430.53
2022-01-10 11:18:42,90.4,557.0,860.0, LED OFF ,0.0,0.0,0.0,315.0,NW,745.0,6.8,101431.42
2022-01-10 11:18:48,90.4,566.0,858.0, LED OFF ,0.0,0.0,0.0,315.0,NW,741.0,6.8,101432.41
2022-01-10 11:18:54,90.5,562.0,857.0, LED OFF ,1.0,20.0,1.15,202.5,SSW,741.0,6.9,101433.24
2022-01-10 11:19:00,90.6,559.0,857.0, LED OFF ,0.0,0.0,0.0,202.5,SSW,741.0,6.8,101432.52
2022-01-10 11:19:06,90.6,563.0,857.0, LED OFF ,0.0,0.0,0.0,202.5,SSW,745.0,6.8,101432.13
2022-01-10 11:19:12,90.6,562.0,858.0, LED OFF ,1.0,20.0,1.15,202.5,SSW,745.0,6.9,101432.28
2022-01-10 11:19:18,90.6,564.0,857.0, LED OFF ,1.0,19.0,1.09,180.0,S,745.0,6.9,101432.19
